Date,Description,Debit Amt,Credit Amt,Balance
05-01-2025,UPI QR Payment Groceries,0.0,270.87,10202.39
15-01-2025,NEFT Transfer From PQR Pvt,3782.46,0.0,6419.93
23-01-2025,Credit Card Payment ICICI,0.0,426.36,6846.29
27-01-2025,Service Charge GST Debit,0.0,4332.26,2514.03
27-01-2025,Fuel Purchase Debit Card,0.0,1533.65,4047.68
30-01-2025,UPI QR Payment Groceries,0.0,4960.86,9008.54
02-02-2025,IMPS UPI Payment Amazon,0.0,2693.97,11702.51
14-02-2025,Online Card Purchase Flipkart,0.0,737.74,12440.25
21-02-2025,Dining Out Card Swipe,0.0,3973.65,8466.6
24-02-2025,IMPS UPI Payment Amazon,0.0,1998.34,10464.94
24-02-2025,Salary Credit XYZ Pvt Ltd,1611.68,0.0,12076.62
01-03-2025,Credit Card Payment ICICI,0.0,4509.03,7567.59
02-03-2025,Dining Out Card Swipe,0.0,2922.99,10490.58
10-03-2025,Interest Credit Saving Account,187.17,0.0,10677.75
12-03-2025,IMPS UPI Payment Amazon,0.0,741.32,9936.43
13-03-2025,Insurance Premium Auto Debit,0.0,2881.87,12818.3
18-03-2025,Interest Credit Saving Account,884.31,0.0,11933.99
21-03-2025,ATM Cash Withdrawal India,0.0,189.74,11744.25
31-03-2025,Insurance Premium Auto Debit,0.0,3183.71,8560.54
01-04-2025,Dining Out Card Swipe,0.0,1786.81,6773.73
10-04-2025,Fuel Purchase Debit Card,0.0,3455.33,10229.06
10-04-2025,Salary Credit XYZ Pvt Ltd,3130.96,0.0,7098.1
12-04-2025,Insurance Premium Auto Debit,0.0,827.09,6271.01
16-04-2025,Dining Out Card Swipe,0.0,4890.35,11161.36
19-04-2025,Online Card Purchase Flipkart,0.0,2634.0,8527.36
22-04-2025,Credit Card Payment ICICI,0.0,4168.32,12695.68
25-04-2025,Salary Credit XYZ Pvt Ltd,4183.97,0.0,16879.65
27-04-2025,IMPS UPI Transfer Paytm,0.0,4087.04,12792.61
28-04-2025,IMPS UPI Transfer Paytm,0.0,363.47,12429.14
05-05-2025,NEFT Transfer From PQR Pvt,22.16,0.0,12451.3
17-05-2025,Salary Credit XYZ Pvt Ltd,1863.31,0.0,10587.99
21-05-2025,Fuel Purchase Debit Card,0.0,4526.6,6061.39
31-05-2025,Dining Out Card Swipe,0.0,2583.14,3478.25
01-06-2025,Salary Credit XYZ Pvt Ltd,4044.7,0.0,566.45
01-06-2025,Salary Credit XYZ Pvt Ltd,2617.5,0.0,3183.95
07-06-2025,Dining Out Card Swipe,0.0,3077.91,106.04
08-06-2025,Electricity Bill NEFT Online,0.0,3949.78,3843.74
10-06-2025,Utility Bill Payment Electricity,0.0,4567.77,724.03
18-06-2025,Utility Bill Payment Electricity,0.0,1980.53,2704.56
18-06-2025,Interest Credit Saving Account,4805.82,0.0,2101.26
21-06-2025,Electricity Bill NEFT Online,0.0,395.05,2496.31
26-06-2025,Online Card Purchase Flipkart,0.0,1263.09,3759.4
27-06-2025,ATM Cash Withdrawal India,0.0,4944.55,1185.15
30-06-2025,Interest Credit Saving Account,150.91,0.0,1336.06
05-07-2025,IMPS UPI Payment Amazon,0.0,4883.29,3547.23
06-07-2025,Interest Credit Saving Account,1248.14,0.0,2299.09
08-07-2025,Online Card Purchase Flipkart,0.0,4029.62,1730.53
14-07-2025,Mobile Recharge Via UPI,0.0,380.91,2111.44
16-07-2025,ATM Cash Withdrawal India,0.0,4630.04,2518.6
19-07-2025,NEFT Transfer From PQR Pvt,1581.69,0.0,936.91
20-07-2025,Utility Bill Payment Electricity,0.0,2989.23,3926.14
23-07-2025,Salary Credit XYZ Pvt Ltd,2988.46,0.0,6914.6
24-07-2025,Electricity Bill NEFT Online,0.0,2917.52,3997.08
25-07-2025,Salary Credit XYZ Pvt Ltd,566.32,0.0,3430.76
27-07-2025,ATM Cash Withdrawal India,0.0,2156.01,5586.77
